,Volcano,SampleID,sample_RMSE_to_regression
328,Llaima,8LM-338_C2,0.015173504440118002
329,Llaima,8LM-338_C7,0.07186060246007231
330,Llaima,8LM-338_C7b,0.10760322623211116
331,Llaima,8LM-338_C7m,0.0360426349987536
332,Llaima,8LM-338_C8,0.05717396771178718
333,Llaima,8LM-338_D1,0.06772873576083016
334,Llaima,8LM-338_D10,0.07724079631080027
335,Llaima,8LM-338_D10b,0.12559992998667657
336,Llaima,8LM-338_D10m,0.1996147489504433
337,Llaima,8LM-338_D11,0.19329946447177826
338,Llaima,8LM-338_D12,0.352717321474455
339,Llaima,8LM-338_D14,0.02650453893007798
340,Llaima,8LM-338_D14m,0.02543978730597174
341,Llaima,8LM-338_D15,0.08921589705524136
342,Llaima,8LM-338_D15m,0.08427449035168555
343,Llaima,8LM-338_D16,0.09308221753368107
344,Llaima,8LM-338_D1m,0.1387347337071817
345,Llaima,8LM-338_D3,0.09770099486676465
346,Llaima,8LM-338_D3m,0.1510023123327835
347,Llaima,8LM-338_D5,0.24398764092443403
348,Llaima,8LM-338_E3,0.22457732577171707
349,Llaima,8LM-338_E5m,0.2338368288171545
350,Llaima,8LM-338_E7,0.07608447381345351
351,Llaima,8LM-338_E7b,0.12588260241604676
352,Llaima,8LM-338_E7m,0.005571502420542829
353,Llaima,TGL9-14B_A1,0.3134416986205746
354,Llaima,TGL9-14B_A10,0.08457898755937499
355,Llaima,TGL9-14B_A10m,0.0952338647452603
356,Llaima,TGL9-14B_A11,0.1167401472195877
357,Llaima,TGL9-14B_A11m,0.13191819129139393
358,Llaima,TGL9-14B_A2,0.12490055360711472
359,Llaima,TGL9-14B_A2m,0.03700431386625058
360,Llaima,TGL9-14B_A3,0.09343414301646347
361,Llaima,TGL9-14B_A4,0.1251805740992673
362,Llaima,TGL9-14B_A4b,0.06812010980681782
363,Llaima,TGL9-14B_A4m,0.1520337075318805
364,Llaima,TGL9-14B_A5,0.10299555843209018
365,Llaima,TGL9-14B_A5b,0.045435872111495246
366,Llaima,TGL9-14B_A6,0.15388948954518122
367,Llaima,TGL9-14B_A6b,0.06454828871682461
368,Llaima,TGL9-14B_A6c,0.051170031340707745
369,Llaima,TGL9-14B_A6d,0.05972437904604688
370,Llaima,TGL9-14B_A7,0.03087497956740126
371,Llaima,TGL9-14B_A7m,0.136525263561182
372,Llaima,TGL9-14B_A8,0.05890354829000466
373,Llaima,TGL9-14B_B1,0.14088029714096706
374,Llaima,TGL9-14B_B1m,0.10213994259064774
375,Llaima,TGL9-14B_B2m,0.12963539869093987
376,Llaima,TGL9-14B_B3,0.02378133157879314
377,Llaima,TGL9-14B_B4,0.18992146342920113
378,Llaima,TGL9-14B_B5,0.08097600012355832
379,Llaima,TGL9-14B_B5b,0.12662869250270054
380,Llaima,TGL9-14B_B5c,0.05117843627643626
381,Llaima,TGL9-14B_B6,0.07139200829947312
382,Llaima,TGL9-14B_B6b,0.04390512156233495
383,Llaima,TGL9-14B_B6m,0.06727969614915064
384,Llaima,TGL9-14B_C1,0.08615061351562303
385,Llaima,TGL9-14B_C1m,0.14777570478012525
386,Llaima,2008 Llaima,0.12716226793321694
387,Llaima,JK193,0.20981433162579624
388,Llaima,CLD423A,0.1925983874539464
389,Llaima,LL17-4,1.150955766627485
390,Llaima,LL35-1,0.0904240961169599
391,Llaima,LL9-1,0.15110365475412882
392,Llaima,JK263Bb,0.0476300866262131
393,Llaima,JK263c,0.034475269539028706
394,Llaima,JK201,0.2193480424330133
395,Llaima,JK203,0.23825055957102267
396,Llaima,JK204,0.13821624979558172
397,Llaima,JK205,0.12242380104628582
398,Llaima,JK207a,0.06564382993671788
399,Llaima,JK207b,0.11325235603507336
400,Llaima,JK261,0.03602823316879353
401,Llaima,JK261a,0.07560638200187283
402,Llaima,JK261b,0.03952819339307319
403,Llaima,JK261c,0.06246694456042771
404,Llaima,LLA03,0.2589417278241334
405,Llaima,CLD074C,0.1308968092235129
406,Llaima,CLD074D,0.38748771917746094
407,Llaima,CLD074E,0.1870570814398167
408,Llaima,CLD076A,0.21342553406890935
409,Llaima,CLD076B,0.06394381228187491
410,Llaima,VILLAR1C-I-119,0.09780872481251973
411,Llaima,JK280,0.1261577051391644
412,Llaima,C180,0.11039793430416421
413,Llaima,JK199,0.1405047905775147
414,Llaima,JK196,0.11957875897781901
415,Llaima,JK197,0.10540708774649112
416,Llaima,JK195a,0.1068717589721993
417,Llaima,JK195b,0.09960566755882402
418,Llaima,JK194,0.24564692735907284
419,Llaima,JK200,0.13456072318053974
420,Llaima,JK198,0.1634903773880398
421,Llaima,JK266,0.15494897864208926
422,Llaima,JK267,0.127281036769725
423,Llaima,JK268,0.17543990467279286
424,Llaima,JK206,0.17326039718723515
425,Llaima,JK208a,0.055051829576447116
426,Llaima,JK208b,0.15398605869084486
427,Llaima,JK208,0.19498940939448298
428,Llaima,JK237,0.05513499663833099
429,Llaima,JK214c,0.10014603026868667
430,Llaima,JK214d,0.061499802268046605
431,Llaima,JK215a,0.19618430177023202
432,Llaima,JK215b,0.1707630823479904
433,Llaima,JK212,0.18915113576516368
434,Llaima,JK213,0.13509897179725106
435,Llaima,JK236,0.18265707893984326
436,Llaima,JK216,0.09811326675178446
437,Llaima,JK217,0.17984648288682664
438,Llaima,JK218,0.14130083294615406
439,Llaima,JK219,0.167262259754309
440,Llaima,JK220,0.11452598672832691
441,Llaima,JK221,0.07364712786858621
442,Llaima,JK222,0.20840442893767985
443,Llaima,JK223,0.19075401533654038
444,Llaima,JK224,0.15315801988123762
445,Llaima,JK225,0.2520108188247394
446,Llaima,JK226,0.32087316767618945
447,Llaima,JK227,0.19658703378334366
448,Llaima,JK228,0.1398157771038338
449,Llaima,JK235,0.13736413443795067
450,Llaima,JK234,0.15964386758756097
451,Llaima,JK233,0.16254179108003963
452,Llaima,JK232,0.19252220899113884
453,Llaima,JK231,0.07320303006029115
454,Llaima,JK230,0.14546541689963602
455,Llaima,JK240,0.24579067792598985
456,Llaima,JK239,0.06000969499098297
457,Llaima,JK257,0.12005159212860468
458,Llaima,JK258,0.12362691488162102
459,Llaima,JK259,0.1505666178236771
460,Llaima,JK260,0.08718119274465103
461,Llaima,JK262,0.09316706319618488
462,Llaima,JK264,0.24547368676891443
463,Llaima,JK265,0.17964622589277157
475,Mentolat,Q1,0.3545410076683846
476,Mentolat,RM,0.755085040900714
477,Mentolat,T3-G-1,0.31226363113129807
478,Mentolat,T3-G-2,0.38547384072847124
479,Mentolat,T3-G-3,0.2282334541950568
480,Mentolat,T3-G-4,0.12797157445751517
481,Mentolat,T3-G-5,0.2956661469506452
482,Mentolat,T3-G-6,0.4932296250436714
483,Mentolat,T3-G-7,0.20231199313782833
484,Mentolat,T3-G-8,0.23485870735043113
485,Mentolat,T3-G-9,0.2096768078258695
486,Mentolat,T3-I-1,0.22472386361955432
487,Mentolat,T3-I-2,0.035258471168010175
488,Mentolat,T3-I-3,0.0936830827877626
489,Mentolat,T3-I-4,0.10406997138127716
490,Mentolat,T3-I-5,0.03150376556082923
491,Mentolat,T3-I-6,0.026167619719548174
492,Michinmahuida,"0201DT8, 1804 cm",0.057001981986105316
493,Michinmahuida,LAZ-T7A,0.15442579728317388
494,Michinmahuida,LAZ-T7B,0.4655448278036935
495,Michinmahuida,T8/100,0.2452716352472471
496,Michinmahuida,14.68m,0.5592700880582377
497,Michinmahuida,14J13 S4-2,0.12386791656764676
498,Michinmahuida,14J13 S4-3,0.24511919663770704
499,Michinmahuida,14J13 S5-1,0.1592946008430998
500,Michinmahuida,Pum-4-9,1.2917537299550372
501,Michinmahuida,T12/100,0.2821357118063926
502,Michinmahuida,T14/100,0.2170690135605868
503,Michinmahuida,T15/100,0.2959050502338926
504,Michinmahuida,T2/100,0.35145081344633344
505,Michinmahuida,T4/100,0.37266536087639357
506,Michinmahuida,T5/100,0.1945521512494689
507,Michinmahuida,T6/100,0.3336834043049408
508,Michinmahuida,T6/100 (base),0.21633662977845386
509,Michinmahuida,T7/100,0.3306220274755865
683,Osorno,41.7-42.1 cm,0.35799181413102377
684,Osorno,CLD339A,0.05860279362048265
685,Puyehue-Cordón Caulle,CAL2A-I-44.5,0.20112056208157184
686,Puyehue-Cordón Caulle,CALA02-103.5,0.13561043553254024
687,Puyehue-Cordón Caulle,CALSC01-100.3,0.19364273317988506
688,Puyehue-Cordón Caulle,CLD241A,0.10750192392965068
689,Puyehue-Cordón Caulle,CLD241B,0.15031224702083096
690,Puyehue-Cordón Caulle,CLD241C,0.26022796729666026
691,Puyehue-Cordón Caulle,CLD241D,0.07612105821396942
692,Puyehue-Cordón Caulle,CLD248F,0.08630180074184106
693,Puyehue-Cordón Caulle,CLD248H,0.08591405062164181
694,Puyehue-Cordón Caulle,CLD252A,0.07926096591076831
695,Puyehue-Cordón Caulle,CLD252B,0.06305384750159355
696,Puyehue-Cordón Caulle,CLD312A,0.16303451575789352
697,Puyehue-Cordón Caulle,CLD325A,0.10599655164619211
698,Puyehue-Cordón Caulle,CLD325B,0.08661465079126865
699,Puyehue-Cordón Caulle,RIN2A-II-3,0.17507257141622126
700,Puyehue-Cordón Caulle,VILLSC02-78,0.5450994943940335
701,Puyehue-Cordón Caulle,CLD243B,0.08074052614126226
702,Puyehue-Cordón Caulle,CLD244E,0.026902861953773026
703,Puyehue-Cordón Caulle,PII-D_1,0.10994135887059375
704,Puyehue-Cordón Caulle,PII-D_3,0.06129910205740252
705,Puyehue-Cordón Caulle,CLD247D,0.06475343563087262
706,Puyehue-Cordón Caulle,8.3-8.6 cm,0.11963908856390552
707,Puyehue-Cordón Caulle,4.5-5 cm,0.40108047798189206
708,Puyehue-Cordón Caulle,PuT4,0.1730211000288865
709,Puyehue-Cordón Caulle,CAL3B-II-69,0.14811487988996003
710,Puyehue-Cordón Caulle,CLD160H,0.10532471066960286
711,Puyehue-Cordón Caulle,CLD244C,0.08958369683991303
712,Puyehue-Cordón Caulle,CLD247A,0.08189217343364737
713,Puyehue-Cordón Caulle,CLD238A,0.0723384846672746
714,Puyehue-Cordón Caulle,PCC-1,0.13754759651304546
715,Puyehue-Cordón Caulle,PCC-10,0.09937553055143192
716,Puyehue-Cordón Caulle,PCC-11,0.11640830719866459
717,Puyehue-Cordón Caulle,PCC-12,0.07838917436081416
718,Puyehue-Cordón Caulle,PCC-14,0.14078796784135827
719,Puyehue-Cordón Caulle,PCC-15,0.12816218509351895
720,Puyehue-Cordón Caulle,PCC-16,0.16407256861471786
721,Puyehue-Cordón Caulle,PCC-18,0.10459288727274058
722,Puyehue-Cordón Caulle,PCC-19,0.13891162643799043
723,Puyehue-Cordón Caulle,PCC-2,0.09825130591814527
724,Puyehue-Cordón Caulle,PCC-20,0.10337399451331743
725,Puyehue-Cordón Caulle,PCC-4,0.14112885430347222
726,Puyehue-Cordón Caulle,PCC-6,0.08091144420907412
727,Puyehue-Cordón Caulle,PCC-7,0.09190551105953533
728,Puyehue-Cordón Caulle,PCC-8,0.1416224278144994
729,Puyehue-Cordón Caulle,PA12CCT17,0.16269717760597846
730,Puyehue-Cordón Caulle,PA12CCT18,0.16250945961725569
731,Puyehue-Cordón Caulle,PA12CCT35,0.19954962860418965
732,Puyehue-Cordón Caulle,PU12CCT05,0.10929952224496378
733,Puyehue-Cordón Caulle,PU12CCT06,0.13947398963141414
734,Puyehue-Cordón Caulle,PU12CCT07,0.10803823771703783
